series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
original,LinearSVM,s42_f3,42,3,0.9164743885556068,0.8928571428571429,0.9670781893004116,0.9284867641248519,0.9504145485354633,2167
original,LinearSVM,s42_f4,42,4,0.9233964005537609,0.9062015503875969,0.9629324546952224,0.9337060702875399,0.9597080061057511,2167
original,LinearSVM,s43_f0,43,0,0.9188191881918819,0.9005397070161912,0.9613168724279836,0.9299363057324841,0.9507429430129676,2168
original,LinearSVM,s43_f1,43,1,0.9220119981541302,0.9092331768388107,0.9563786008230453,0.9322101885278781,0.955005705986098,2167
original,LinearSVM,s43_f2,43,2,0.9100138440239963,0.8863636363636364,0.9629629629629629,0.9230769230769231,0.9485207663312238,2167
original,LinearSVM,s43_f3,43,3,0.9192431933548685,0.906885758998435,0.9539094650205762,0.9298034496590454,0.9535454922709825,2167
original,LinearSVM,s43_f4,43,4,0.9201661282879557,0.9127676447264076,0.9481054365733114,0.9301010101010101,0.951337232117081,2167
original,LinearSVM,s44_f0,44,0,0.9165129151291513,0.9116242038216561,0.9423868312757202,0.9267503035208418,0.9481209436088763,2168
original,LinearSVM,s44_f1,44,1,0.9192431933548685,0.9,0.9629629629629629,0.9304174950298211,0.951333990386278,2167
original,LinearSVM,s44_f2,44,2,0.9178587909552377,0.9003861003861003,0.9596707818930041,0.9290836653386454,0.9489768129474012,2167
original,LinearSVM,s44_f3,44,3,0.9266266728195662,0.9144427001569859,0.9588477366255144,0.9361189232623544,0.9532537088909638,2167
original,LinearSVM,s44_f4,44,4,0.9201661282879557,0.9050583657587549,0.9579901153212521,0.9307723089235694,0.9528182916688994,2167
original,LinearSVM,s45_f0,45,0,0.9109778597785978,0.8967391304347826,0.9506172839506173,0.9228925289652418,0.9491940115468156,2168
original,LinearSVM,s45_f1,45,1,0.9243193354868482,0.9108678655199375,0.9588477366255144,0.9342421812349639,0.9573650447833454,2167
original,LinearSVM,s45_f2,45,2,0.9169358560221504,0.9033515198752923,0.9539094650205762,0.9279423538831065,0.9512752014386001,2167
