series,model,run_id,seed,fold,classic_f1,classic_accuracy,classic_precision,classic_recall,trans_f1,trans_accuracy,trans_precision,trans_recall,n_test
lemmatized,RandomForest,s46_f1,46,1,0.9295889295889296,0.9201661282879556,0.9194847020933976,0.939917695473251,0.9332797427652733,0.9233964005537609,0.9120188531029065,0.9555555555555556,2167
lemmatized,RandomForest,s46_f2,46,2,0.9413680781758956,0.9335486848177204,0.9315068493150684,0.951440329218107,0.9399837793998378,0.9317028149515459,0.926458832933653,0.9539094650205762,2167
lemmatized,RandomForest,s46_f3,46,3,0.9434269434269434,0.9358560221504384,0.9331723027375202,0.9539094650205762,0.9443767762890783,0.9367789570835257,0.9318910256410257,0.9572016460905349,2167
lemmatized,RandomForest,s46_f4,46,4,0.9299311462130416,0.9201661282879556,0.9147410358565736,0.9456342668863262,0.9294639258363563,0.9192431933548685,0.9100236779794791,0.9497528830313015,2167
lemmatized,SVM,s42_f0,42,0,0.934312525499796,0.9257380073800738,0.9263754045307444,0.9423868312757202,0.9384116693679092,0.9298892988929889,0.9241819632881085,0.9530864197530864,2168
lemmatized,SVM,s42_f1,42,1,0.9250101337657072,0.9146285186894324,0.9113418530351438,0.9390946502057612,0.9259259259259259,0.915089986155976,0.9062253743104807,0.9465020576131687,2167
lemmatized,SVM,s42_f2,42,2,0.9340974212034384,0.925703737886479,0.9291530944625408,0.9390946502057612,0.9393569393569393,0.9312413474850023,0.92914653784219,0.9497942386831276,2167
lemmatized,SVM,s42_f3,42,3,0.932378679395386,0.9215505306875864,0.9022324865280984,0.9646090534979423,0.931845356715823,0.9210890632210429,0.9034003091190108,0.9621399176954732,2167
lemmatized,SVM,s42_f4,42,4,0.9390243902439024,0.9307798800184588,0.9269662921348316,0.9514003294892917,0.941747572815534,0.9335486848177204,0.9252782193958664,0.9588138385502472,2167
lemmatized,SVM,s43_f0,43,0,0.9319755600814664,0.9229704797047972,0.9225806451612903,0.9415637860082304,0.9360675512665863,0.926660516605166,0.9150943396226415,0.9580246913580247,2168
lemmatized,SVM,s43_f1,43,1,0.9367909238249594,0.928011075219197,0.922585794094174,0.951440329218107,0.9379032258064516,0.9289340101522843,0.9193675889328063,0.9572016460905349,2167
lemmatized,SVM,s43_f2,43,2,0.9294306335204492,0.9187817258883249,0.9061767005473026,0.9539094650205762,0.9295662554715479,0.9183202584217812,0.8998459167950693,0.9613168724279836,2167
lemmatized,SVM,s43_f3,43,3,0.9319200978393803,0.9229349330872172,0.9232633279483036,0.9407407407407408,0.9378806333739342,0.9293954776188279,0.9254807692307693,0.9506172839506173,2167
lemmatized,SVM,s43_f4,43,4,0.9344729344729344,0.925703737886479,0.9235720032180208,0.9456342668863262,0.9358398038414385,0.9275496077526535,0.9286293592862936,0.943163097199341,2167
lemmatized,SVM,s44_f0,44,0,0.9284253578732108,0.919280442804428,0.9227642276422764,0.934156378600823,0.9348534201954397,0.9261992619926199,0.9250604351329573,0.9448559670781893,2168
lemmatized,SVM,s44_f1,44,1,0.9360323886639677,0.92708814028611,0.9211155378486056,0.951440329218107,0.9379532634971797,0.9289340101522843,0.9187056037884768,0.9580246913580247,2167
lemmatized,SVM,s44_f2,44,2,0.9271255060728744,0.9169358560221504,0.9123505976095616,0.9423868312757202,0.9333868378812199,0.9233964005537609,0.9107282693813625,0.9572016460905349,2167
lemmatized,SVM,s44_f3,44,3,0.9373983739837398,0.9289340101522844,0.9261044176706827,0.9489711934156378,0.9386602098466506,0.9298569450853715,0.9208234362628662,0.9572016460905349,2167
lemmatized,SVM,s44_f4,44,4,0.931945556445156,0.9215505306875864,0.9065420560747663,0.9588138385502472,0.9323126510878323,0.9224734656206738,0.9124605678233438,0.9530477759472817,2167
lemmatized,SVM,s45_f0,45,0,0.929760454730004,0.9202029520295204,0.9174679487179488,0.9423868312757202,0.9287726358148893,0.9183579335793358,0.9086614173228347,0.9497942386831276,2168
lemmatized,SVM,s45_f1,45,1,0.9369149369149368,0.9284725426857406,0.926731078904992,0.9473251028806584,0.9413193039255362,0.9330872173511767,0.9259554140127388,0.9572016460905349,2167
lemmatized,SVM,s45_f2,45,2,0.9329540837058108,0.9238578680203046,0.9213483146067416,0.9448559670781892,0.9341414141414142,0.9247808029533918,0.9174603174603174,0.951440329218107,2167
lemmatized,SVM,s45_f3,45,3,0.9344,0.9243193354868482,0.9089494163424124,0.9613168724279836,0.9405144694533762,0.9317028149515459,0.9190887666928516,0.9629629629629629,2167
