series,model,accuracy,precision,recall,f1,roc_auc,roc_auc_macro,duration_sec,run_id,seed,fold,n_test
lemmatized,NeuralNet,0.889247808029534,0.8940986257073565,0.9102880658436214,0.9021207177814028,0.946613583705087,,94.54861497879028,,,,
lemmatized,RandomForest,0.9298569450853716,0.9359605911330048,0.9390444810543658,0.9375,0.9596561452518796,,1078.048842906952,,,,
lemmatized,SVM,0.9243193354868482,0.9233870967741936,0.943163097199341,0.9331703341483292,0.9510848426282388,,509.9865911006928,,,,
lemmatized,LinearSVM,0.9275496077526536,0.9244979919678716,0.9481054365733114,0.9361529076860512,0.9553793535025956,,2.3776538372039795,,,,
lemmatized,NeuralNet,0.9017074296262112,0.9085714285714286,0.9168039538714992,0.9126691266912668,0.9448801236362756,,91.3437638282776,,,,
lemmatized,RandomForest,0.9252767527675276,0.936205468102734,0.9300411522633744,0.9331131296449215,0.9547851920942744,,3917.517539024353,,,,
lemmatized,SVM,0.9169741697416974,0.916331456154465,0.937448559670782,0.9267697314890154,0.9502398749454828,,508.8335537910461,,,,
lemmatized,LinearSVM,0.9197416974169742,0.9160671462829736,0.94320987654321,0.929440389294404,0.9534802378454004,,2.3576548099517822,,,,
lemmatized,NeuralNet,0.8925276752767528,0.898538961038961,0.9111111111111112,0.9047813649366572,0.94391201274727,,89.05829095840454,,,,
lemmatized,RandomForest,0.9321642824180896,0.9258373205741628,0.9555555555555556,0.9404617253948968,0.9638754884669916,,1080.287810087204,,,,
lemmatized,SVM,0.9261652053530226,0.9124315871774824,0.9604938271604938,0.9358460304731356,0.9501249265138154,,500.63728380203247,,,,
lemmatized,LinearSVM,0.9252422704199352,0.909727626459144,0.9621399176954732,0.9352,0.9568134661271916,,2.384999990463257,,,,
lemmatized,NeuralNet,0.8827872634979234,0.871042471042471,0.928395061728395,0.8988047808764941,0.9386753466818828,,82.2894082069397,,,,
lemmatized,RandomForest,0.9284725426857406,0.9186413902053712,0.9572016460905348,0.9375251914550584,0.9611681709720928,,1075.15500497818,,,,
lemmatized,SVM,0.9160129210890632,0.9013209013209014,0.9547325102880658,0.927258193445244,0.9485441090016252,,506.3970699310303,,,,
lemmatized,LinearSVM,0.919704660821412,0.9063231850117096,0.9555555555555556,0.9302884615384616,0.9531685513711656,,2.391961097717285,,,,
lemmatized,NeuralNet,0.8652514997692663,0.8755085435313262,0.8855967078189301,0.8805237315875614,0.9233919493723416,,98.27852177619934,,,,
lemmatized,RandomForest,0.9307798800184588,0.9256594724220624,0.9530864197530864,0.9391727493917276,0.9594537815126052,,1146.4674146175385,,,,
lemmatized,SVM,0.9284725426857406,0.9213036565977742,0.9539094650205762,0.9373230893651436,0.9569107272538646,,493.84641885757446,,,,
lemmatized,LinearSVM,0.9210890632210428,0.908450704225352,0.9555555555555556,0.9314079422382672,0.9600913822319052,,2.288701295852661,,,,
lemmatized,NeuralNet,0.8943239501615136,0.8821705426356589,0.9366255144032922,0.9085828343313374,0.9467998927966248,,83.48106718063354,,,,
lemmatized,RandomForest,0.9261652053530226,0.9216,0.9489291598023064,0.935064935064935,0.9605049345602455,,1080.5804529190063,,,,
lemmatized,SVM,0.9215505306875864,0.9078125,0.957166392092257,0.9318364073777065,0.9486253416333748,,495.3791382312775,,,,
lemmatized,LinearSVM,0.9238578680203046,0.906274206041828,0.9637561779242174,0.934131736526946,0.956087254157944,,2.216118097305298,,,,
lemmatized,NeuralNet,0.8790955237655745,0.8832528180354268,0.9036243822075782,0.8933224755700325,0.938105367425506,,92.14187288284302,,,,
lemmatized,croBERT,0.9238953425252416,0.9145299145299144,0.9533217121828396,0.9335229966808914,0.9442558224413756,,7330.108658075333,,,,
